лошадь	кобыла
учитель	преподаватель
фильм	кинолента
палец	палец
учащийся	ученик
рубеж	граница
опасность	угроза
победа	триумф
ограда	забор
недорогой	дешевый
крупный	большой
создатель	изготовитель
отец	родитель
случаться	происходить
информировать	сообщать
советовать	рекомендовать
прекрасный	великолепный
красивый	прекрасный
сумочка	сумка
чемпион	победитель
позволять	разрешать
безумный	сумасшедший
друг	приятель
мотель	гостиница
пропадать	исчезать
предприятие	компания
автор	создатель
симулировать	притворяться
быстрый	скоростной
большой	огромный
скорый	скоростной
размышлять	думать
восхитительный	прекрасный
область	регион
соперник	противник
агрессивность	враждебность
кровать	кроватка
странный	необычный
мотор	двигатель
тупой	глупый
злость	ярость
общение	беседа
задание	задача
защищать	отстаивать
обнаруживать	находить
музыка	мелодия
гонорар	зарплата
аргументировать	обосновывать
аргументировать	обосновывать
изобилие	множество
руководство	управление
дискуссия	спор
исследовать	изучать
тяжелый	трудный
плохой	ужасный
плохой	ужасный
тоскливый	скучный
глава	руководитель
население	народ
чудный	странный
полицейский	шериф
буря	ураган
пакт	соглашение
проход	коридор
выбирать	избирать
счастливый	радостный
прекрасный	потрясающий
объявлять	провозглашать
уменьшаться	сжиматься
приобретать	покупать
домик	хижина
зверь	животное
сообразительный	интеллектуальный
болезнь	инфекция
трава	травинка
тарелка	миска
корпорация	предприятие
автотранспорт	автобус
путешествие	поездка
создавать	делать
прояснять	объяснять
глупый	тупой
мудрость	ум
объяснять	доказывать
неотъемлемый	необходимый
привычка	манера
трапеза	ужин
размер	величина
просить	умолять
странствовать	бродить
счастливый	довольный
корова	скот
область	зона
деньги	капитал
чета	пара
прибывать	приходить
приобретать	получать
расширяться	расти
умолять	просить
гонорар	платеж
кровать	кушетка
эластичный	гибкий
провод	шнур
грохот	шум
убивать	уничтожать
анализировать	оценивать
слякоть	грязь
конечность	нога
приходить	посещать
просить	умолять
твердый	прочный
новый	свежий
нетерпеливый	беспокойный
испуганный	встревожить
сила	мощь
морось	дождь
счастие	удача
брюшко	живот
игнорировать	избегать
кроватка	колыбель
дочь	ребенок
почка	орган
виноватый	пристыжать
шум	грохот
берег	побережье
стиль	мода
видение	восприятие
проход	коридор
устраивать	организовывать
тупой	дурацкий
деньги	зарплата
анархия	хаос
рак	болезнь
кабинка	будка
одежда	пальто
край	конец
имитировать	изображать
экзотичный	редкий
яростный	злой
политик	президент
самоуверенный	уверенный
необходимый	важный
священник	монах
раввин	священник
коттедж	домик
настроение	эмоция
выигрывать	доминировать
достигать	преуспевать
дождь	изморось
табак	сигарета
спорить	убеждать
ужин	трапеза
вечер	сумерки
провозглашать	объявлять
орава	толпа
убежище	хижина
приветствовать	встречать
решающий	важный
внимание	интерес
глава	мэр
действие	движение
принимать	признавать
собираться	встречаться
убивать	душить
простой	легкий
формула	уравнение
слушать	слышать
дом	квартира
задача	работа
создавать	строить
армия	легион
чувство	интуиция
ортодонт	дантист
праздник	церемония
чудовище	демон
сохранять	защищать
давать	одалживать
брать	завладевать
слушаться	подчиняться
заметный	очевидный
недавний	новый
алкоголь	бренди
сосуд	вена
факт	суть
авиация	полет
понимать	знать
решать	выбирать
обручаться	жениться
удовлетворять	угождать
проход	коридор
болезнь	инфекция
клуб	общество
наслаждаться	развлекаться
бумага	картон
пляж	побережье
злак	пшеница
водитель	пилот
юбилей	дата
коммуникация	телевидение
доказательство	факт
нести	приносить
достигать	завершать
добывать	зарабатывать
предполагать	предсказывать
стейк	мясо
героиня	герой
бревно	древесина
идея	план
насекомое	пчела
вино	спиртное
алкоголь	вино
элегантность	стиль
идти	приходить
участвовать	присоединяться
грузить	тяжелый
такси	таксомотор
алкоголь	джин
толпа	группа
баллада	песня
делать	строить
сотрудничать	объединяться
эксцентричный	странный
твердый	плотный
пиво	алкоголь
цветок	фиалка
алкоголь	висок
отражение	образ
комфорт	безопасность
жар	болезнь
давать	занимать
конь	жеребенок
река	поток
преступление	нарушение
пол	палуба
овца	ягненок
представитель	адвокат
ум	проницательность
счастие	умиротворенность
авария	бедствие
приобретать	получать
хранить	защищать
требовать	запрашивать
овца	скот
код	символ
думать	решать
книга	литература
мясо	бекон
помощница	служанка
уверенность	самость
архиепископ	епископ
изучать	обнаруживать
притворяться	изображать
ненормальный	необычный
убежденный	бесспорный
дерево	бревно
обстоятельство	ситуация
отчаяние	бедствование
мужчина	воин
плохой	безнравственный
мир	земля
марихуана	трава
побеждать	преуспевать
отвергать	избегать
море	океан
девочка	дева
обсуждать	объяснять
самолет	джет
улица	переулок
стекло	хрусталь
словарь	толкование
преступление	мошенничество
идея	образ
висок	джин
досада	злость
понимать	прощать
мальчик	ребенок
мужчина	муж
актер	певец
коллекционировать	сохранять
библия	псалом
газета	информация
прощать	забывать
птица	курица
закат	вечер
забывать	игнорировать
просить	молиться
аргументировать	подтверждать
давать	вкладывать
угождать	развлекать
посещать	прибывать
вежливый	приличный
взрослый	опекун
теленок	бык
ребенок	мальчик
сравнивать	анализировать
подтверждать	обосновывать
книга	текст
смерть	погребение
алкоголь	коктейль
книга	информация
трубка	сигара
хранить	владеть
осматривать	изучать
определять	предсказывать
восхитительный	радостный
птица	ястреб
дерево	клен
кисть	запястье
книга	библия
предприятие	промышленность
игра	веселие
терапевт	врач
скот	бык
известие	газета
мнение	впечатление
побеждать	доминировать
добиваться	убеждать
хлеб	мука
таксомотор	автобус
осознавать	обнаруживать
приобретать	находить
ребячливый	безрассудный
мужчина	отец
механизм	двигатель
принц	король
комната	камера
стакан	рожок
принимать	прощать
задолжать	одалживать
преступление	кража
трава	мох
ритм	мелодия
опасность	болезнь
думать	обосновывать
слушать	подчиняться
дверь	проем
происшествие	авария
право	правосудие
отец	бог
предубеждение	мнение
притворяться	казаться
скудный	редкий
метр	ярд
сплетня	новость
олово	металл
ладить	угождать
группа	оркестр
смерть	трагедия
приятель	спутник
истерика	помрачение
кузен	дядя
парень	товарищ
толпа	парад
появляться	посещать
становиться	казаться
изгиб	угол
настрой	уверенность
девочка	ребенок
наставник	раввин
младенец	дочь
больной	сумасшедший
вино	бренди
металл	алюминий
женщина	жена
луна	планета
верование	представление
игра	действие
